Name,AREA,AnydoTag,Archivos multimedia,BLOQUE,C-TEXT,Fórmula,ID,Nombre,Rollup,TITULO,Tags,URL
C4y0,https://www.notion.so/2a5622cf315b81e49546d2ece6dbdd49,&C4y0-MED,,B4Y (https://www.notion.so/B4Y-2a5622cf315b8162b004f87b10107646?pvs=21),C4y0-MED,@C4y0,51,MED,,,,
C4y4,https://www.notion.so/2a5622cf315b81e49546d2ece6dbdd49,&C4y4-VID,,B4Y (https://www.notion.so/B4Y-2a5622cf315b8162b004f87b10107646?pvs=21),C4y4-VID,@C4y4,52,VID,,,,
C4y5,https://www.notion.so/2a5622cf315b81e49546d2ece6dbdd49,&C4y5-AUD,,B4Y (https://www.notion.so/B4Y-2a5622cf315b8162b004f87b10107646?pvs=21),C4y5-AUD,@C4y5,53,AUD,,,,
C4y6,https://www.notion.so/2a5622cf315b81e49546d2ece6dbdd49,&C4y6-MP3,,B4Y (https://www.notion.so/B4Y-2a5622cf315b8162b004f87b10107646?pvs=21),C4y6-MP3,@C4y6,54,MP3,,,,
C4z0,https://www.notion.so/2a5622cf315b81e49546d2ece6dbdd49,&C4z0-APP,,B4Z (https://www.notion.so/B4Z-2a5622cf315b8119b685e19db31609e3?pvs=21),C4z0-APP,@C4z0,55,APP,,,,
C4z7,https://www.notion.so/2a5622cf315b81e49546d2ece6dbdd49,&C4z7-MOC,,B4Z (https://www.notion.so/B4Z-2a5622cf315b8119b685e19db31609e3?pvs=21),C4z7-MOC,@C4z7,56,MOC,,,,
C4z8,https://www.notion.so/2a5622cf315b81e49546d2ece6dbdd49,&C4z8-WEB,,B4Z (https://www.notion.so/B4Z-2a5622cf315b8119b685e19db31609e3?pvs=21),C4z8-WEB,@C4z8,57,WEB,,,,
C4z9,https://www.notion.so/2a5622cf315b81e49546d2ece6dbdd49,&C4z9-SOF,,B4Z (https://www.notion.so/B4Z-2a5622cf315b8119b685e19db31609e3?pvs=21),C4z9-SOF,@C4z9,58,SOF,,,,
"C4z9 (https://www.notion.so/C4z9-2a5622cf315b8197be18fc108900a7ef?pvs=21) ",,,,,,@@C4z9,,,,,,
@C4z8,,,,,,@@C4z8,,,,,,
@C4z7,,,,,,@@C4z7,,,,,,
@C4z0,,,,,,@@C4z0,,,,,,
@C4y6,,,,,,@@C4y6,,,,,,
@C4y5,,,,,,@@C4y5,,,,,,
@C4y4,,,,,,@@C4y4,,,,,,
@C4y0,,,,,,@@C4y0,,,,,,
@C4x3,,,,,,@@C4x3,,,,,,
@c4x2,,,,,,@@c4x2,,,,,,
"C4x1 (https://www.notion.so/C4x1-2a5622cf315b81dba7e2f155528fedf9?pvs=21) ",,,,,,@@C4x1,,,,,,
"C4x0 (https://www.notion.so/C4x0-2a5622cf315b8184b7ecfe1ba5141b53?pvs=21) ",,,,,,@@C4x0,,,,,,
"C400 (https://www.notion.so/C400-2a5622cf315b818ea8c3c03df3d46213?pvs=21) ",,,,,,@@C400,,,,,,
"C0c3 (https://www.notion.so/C0c3-2a5622cf315b81c9a731e6a3152d26e2?pvs=21) ",,,,,,@@C0c3,,,,,,
"C0b2 (https://www.notion.so/C0b2-2a5622cf315b81868d76d000237b2b81?pvs=21) ",,,,,,@@C0b2,,,,,,
"C0A1-INFO (https://www.notion.so/C0A1-INFO-117622cf315b8037a526e268e4d6d8b8?pvs=21) ",https://www.notion.so/2e8622cf315b802ba838e173de2f4b88,,,@B0A-KIT  (https://www.notion.so/2e8622cf315b80648651c0bf89f1eb1d?pvs=21),,@@C0A1-INFO,,,,,,
